episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1,1.2000000000000006,-1.4671804621375562,0.2622934202576702,0.0,0.8872513157453179,0.5389608357616975,0.0,-2.725234770228836,-0.6810964353727639,-6.719474694800149,-6.710211172301915,-9.575414234271065,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-97.70967032506893
2,1.2000000000000006,-1.501632389427743,0.2871386049155174,0.0,0.9537592181659775,0.5206793774671965,0.0,-2.7591813874006212,-0.5778090008467759,-6.7367005148083345,-6.706982623131974,-9.724481812046283,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-98.05916261789659
3,1.3200000000000007,0.30331814518864725,1.6938186124434957,0.0,0.16811639656761201,4.945850776699459,0.0,0.5206514207313812,3.295582361338971,-5.683792063359184,-7.5635832273899055,-12.774226164092823,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-104.59955518533837
4,1.2000000000000006,-1.586150311878676,0.29817164672295193,0.0,0.5673272129335505,0.19741606539265621,0.0,-2.901331390769071,-0.46091284770991503,-6.832474063676874,-7.899688504575006,-10.580585140803485,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-98.82994318697881
5,1.3200000000000007,-1.1572840250827432,0.07278019612757233,0.0,4.606302069463311,5.158989449632536,0.0,-1.3794865390848678,-1.9161950417857905,-6.2193708435117765,-9.661791909501536,-12.260063673767414,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-106.04046838086785
6,1.2600000000000007,-0.3120633972964576,1.7176104812622235,0.0,3.745339951428619,3.5699076471610667,0.0,0.5942960313530012,1.3279749607626101,-5.866681657154706,-12.525134465829526,-13.953544241684343,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-107.1514756878328
7,1.1400000000000006,-0.29158101554357146,2.1588566762124892,0.0,4.956523182003863,0.14183402479956175,0.0,-1.4692711561668044,1.3985794849839812,-5.508214510342747,-12.317602461522547,-15.7943314762818,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-99.1691264084295
8,1.0800000000000005,-0.05701880012065113,2.34700003677705,0.0,5.555073187420463,0.9520992836712034,0.0,-1.0744051232696972,2.058025596651253,-5.931650561471014,-11.57483634213113,-13.807262722035151,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-94.08642152085669
9,1.1400000000000006,-0.08772580570097438,2.706623817203166,0.0,4.895026974731017,0.30177041909075175,0.0,-1.576270133301425,1.9597910565625158,-5.772107391626656,-11.949331488060544,-14.424216321093182,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-102.69964405564073
10,1.1400000000000006,0.5399038049118844,3.507252090251278,0.0,5.787026608633193,0.7774450378118463,0.0,0.1384166413290597,3.4134412537911163,-6.474737978010206,-11.460069882386884,-11.230376991381393,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-107.64979936825932
11,1.1400000000000006,0.8261157621680325,2.738849947721881,0.0,5.4013964616401875,0.5893958058081301,0.0,0.18975509003381313,2.029253113626204,-6.739571418963077,-10.428920514105135,-9.309021886538135,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-105.56498252741167
12,1.1400000000000006,1.1063385542687558,2.600648815158376,0.0,5.661869553947875,1.4920308557919704,0.0,0.6916487334901882,1.7087377270906765,-7.248273074542602,-10.62037892379808,-9.944199286437655,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-105.3505068269132
13,1.1400000000000006,1.237623656906297,2.8185533461143595,0.0,5.927883507693238,1.282276890304031,0.0,1.2339882339551786,1.9826872876225279,-6.891582905425733,-9.994509484092834,-8.674360661389002,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-106.53490061116247
14,1.1400000000000006,1.3363647946659396,2.8280478080152367,0.0,6.199382672378228,1.334310428721702,0.0,1.4891975749047426,2.148805225846928,-6.502011383043163,-10.101449268411208,-8.549925179402992,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-105.84365987829065
15,1.1400000000000006,1.3875203666424996,2.9096589473581824,0.0,0.18705444360294,1.323186877433912,0.0,1.677846723673504,2.5250781277879932,-6.391683795926679,-10.310536084508364,-8.718322528906532,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-106.46733618482469
16,1.1400000000000006,1.4606729738877517,2.931639208400167,0.0,0.6324881876332817,1.3086351155388192,0.0,1.8791178846294665,2.953238598879607,-6.171388389447628,-10.334253675528673,-8.638841728988941,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-106.06333563012313
17,1.1400000000000006,1.3531455815198326,2.882115783046157,0.0,0.6425974958138498,1.1186859985955735,0.0,1.5212600021398102,3.090518196917438,-6.115012123336474,-10.25567652028098,-8.845662432689508,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-104.84398192659698
18,1.1400000000000006,1.431856304160986,2.6848091374944,0.0,0.5301211628270543,1.4195889158372532,0.0,2.094175560579897,2.231112328566568,-6.323714341252398,-10.342484855540922,-8.713597200512265,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-103.81872477817778
19,1.0800000000000005,1.3173476921488774,2.747884369121043,0.0,2.183675296121862,1.9674552469859563,0.0,3.0073962473997082,4.039828650783025,-6.469169503426724,-11.91740941332412,-8.595701496100405,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-95.00386855052355
20,1.1400000000000006,1.544774022618297,2.698913706959656,0.0,1.0629243795549925,1.1084362331083275,0.0,2.2413396362719546,3.000467938016796,-6.011701728511315,-10.907830249754076,-9.280174331709373,0.0,371.19042968688655,372.72720695232834,373.68079290019836,372.4249879638857,-102.99714010627387
