time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.5646455866073003e-07,3.344679632964054e-08,10.004744727160807,3.798225234152852e-05,0.00023289920856406354,0.0,-2.2484729250069707e-05,3.2479730277549687e-06,0.15814808366640432,0.0018700792461055326,0.010692632861318621,0.0,454.7831671804814,455.6385917229024,454.6656513353243,454.8154115954068
0.12000000000000001,-9.22281368348349e-06,2.189972829242477e-06,10.018342414643211,0.0006725514438281621,0.0008225072161511804,0.0,-0.00034261198621975234,0.00011312505348776963,0.29508196189470937,0.023932281303312854,0.008036325121799887,0.0,449.38252148503904,449.1670642479134,446.8375653511136,448.6321025933268
0.18,-4.9323743854297835e-05,2.8471156731339166e-05,10.039147225979693,0.0017143920032829385,0.0018057872280854426,0.0,-0.0010730283661530547,0.00089514487433425,0.3983805223701444,-0.0009177804036688449,0.029316881815606977,0.0,437.51300901904847,439.28087289005833,438.7423442782786,436.67458593860357
0.23999999999999996,-0.0001651990898932977,0.00012399332389915246,10.06957122899522,0.0020982858623783684,0.0032149966346155523,0.0,-0.0029828860471681567,0.0023119652279465163,0.6156602804893438,0.018036868495339385,0.008064164288377747,0.0,473.66040409429445,472.0234236334428,472.1248333383397,473.58471931885845
0.3,-0.00041918348419398764,0.0003151247332085665,10.111574613898123,0.003354954187724246,0.003586066660073328,0.0,-0.005531208635863533,0.004190653982467645,0.7843510899639586,0.02620341588345133,0.002131733682129079,0.0,457.9674900838882,457.49534946199697,459.1319850691984,459.77933223944984
0.36000000000000004,-0.0008353066272888812,0.0006516630859137019,10.164288419236764,0.005034451284961605,0.003817445022952448,0.0,-0.008359961830380652,0.0072141173833783915,0.9726334967355137,0.031347023872684676,0.007099961018121088,0.0,464.89120235920075,465.2802033217119,464.1478345178594,464.55144781830967
0.4200000000000001,-0.0014133547240041257,0.0011903366029904032,10.224527215875701,0.0074650822145594375,0.00372466964088769,0.0,-0.010935736821073714,0.010953609022789046,1.0352700705549063,0.054403512314677195,-0.030825303482075146,0.0,427.278907491085,424.0337439422095,425.0668759751995,427.0388039845678
0.48000000000000015,-0.0021446734237164315,0.002027102543131883,10.291221087458226,0.010851081688845632,0.0018239820461900536,0.0,-0.013235313358480947,0.01730269005683162,1.1877102612411339,0.06021037153442947,-0.033440434404154784,0.0,453.6351186768749,453.4247610757802,454.8904247173643,455.35721786613567
0.5400000000000001,-0.002976557102181557,0.0033661741370297664,10.370889867007541,0.013912775909752817,6.282733707521831,0.0,-0.014220876006935603,0.02777825189402351,1.4675942746621151,0.01740029464315468,-0.04888296566983829,0.0,492.96401606349747,491.82112996232524,493.33712564102296,490.16745796949226
0.6000000000000002,-0.003810767686696753,0.005302891699683539,10.460355281116827,0.01575660533246115,6.2795974324552475,0.0,-0.013301497374774525,0.03692189598321088,1.5145223975450288,0.04904343391444522,-0.0600920032507009,0.0,422.76171669041435,421.7929023068464,420.18171004766083,422.91614994969683
0.6600000000000003,-0.004502001627427941,0.007930640569291273,10.55886880502361,0.018683705688007812,6.276516293992405,0.0,-0.009328856007399034,0.05103019982347618,1.768895451200875,0.04826325281191043,-0.03796020500672671,0.0,483.51340550644056,485.17614875628067,486.939924644599,486.8828046382814
0.7200000000000003,-0.004933999637673652,0.011339727340804014,10.665415651956057,0.021391372868844627,6.274645460659684,0.0,-0.004888440407939673,0.06285632229602775,1.7826380294276039,0.037977324313472414,-0.020240239150782404,0.0,411.3372727710969,412.9029269047844,411.9996199846178,411.09058751317514
0.7800000000000004,-0.004975668504147154,0.015737424711652834,10.78343178681277,0.02344985375232067,6.273508535810667,0.0,0.0036604659884108422,0.0840288933349016,2.150607560938306,0.025718746439952797,-0.01648353481469194,0.0,518.8075112749705,519.0712945996279,517.359409675253,516.4959451166851
0.8400000000000004,-0.004502584933029816,0.021389534533486465,10.920498317997797,0.02540710177699701,6.272339873118193,0.0,0.012239523250767492,0.10458723772681525,2.417743696621913,0.043721794810267826,-0.026262464650678892,0.0,492.4720591018572,491.748315847491,489.95417716526146,491.29103990357663
0.9000000000000005,-0.003554969236402684,0.028163238780902093,11.067129293852835,0.027455795764083746,6.271497407012166,0.0,0.019454367829049787,0.12143942644638946,2.4698354911398384,-0.003912113884078663,0.0031777820084042206,0.0,426.16807697108413,428.6770482061681,429.14500019840176,425.0830164265048
0.9600000000000005,-0.0021651752020360555,0.03597473124475676,11.216804161312812,0.027584153563792846,6.272225048871917,0.0,0.02682343115587536,0.13893729296375296,2.519218546943589,0.012104927631859351,0.025772212505744612,0.0,425.67575242304986,427.60476585023264,425.96024300628665,427.32772889026563
1.0200000000000005,-0.0002995035110795033,0.04497679865272284,11.374303465034867,0.028694964234261988,6.2738407787056865,0.0,0.03517310604016095,0.16122946260724821,2.7302759174939237,0.02896199456433945,0.029146845666838273,0.0,476.37839482545274,476.63647399799777,476.3738153059246,477.66097170220763
1.0800000000000005,0.0020200315443190484,0.05532547589622324,11.543707428861536,0.030830335044702117,6.2760600777194515,0.0,0.04190910664376621,0.1839377406442975,2.9160612437988123,0.04632872263163589,0.04928778686641656,0.0,469.94067947494113,471.49979035040917,469.2309508683065,470.57765496856285
1.1400000000000006,0.00467739293381288,0.06704158696051268,11.722709952946758,0.03332678873174544,6.278959578116456,0.0,0.04635347736766675,0.20687273048719088,3.0503314894519815,0.029926152311812733,0.046327060618335775,0.0,455.7083869712927,455.47302763605893,456.57477694928286,455.2651038319655
